Stock,Date,Signal,Close,Volume,SMMA_20,SMMA_120,SMMA_DIFF,MOMENTUM_5D,MOMENTUM_10D,VOLATILITY_20D,RETURN_5D,Profitable,Predicted,Probability
NTPC.NS,2025-04-23,1,363.7999877929688,9719205.0,346.8272046320801,346.5294824666336,0.297722165446487,0.3586173221982847,3.824199237983717,1.9061136618818757,-2.5426059126928804,0,1,0.5674867099001067
POWERGRID.NS,2025-05-06,1,307.6000061035156,9124804.0,296.3131049987388,296.0397358042707,0.2733691944681027,-0.3078858295371356,-3.874998092651372,1.9752482038299315,-2.9746403494560263,0,1,0.617892637306034
NTPC.NS,2025-05-15,-1,341.95001220703125,43307763.0,346.5960959557101,346.6649303576227,-0.0688344019126248,0.5735330020680163,-3.553793828726614,1.5033623906388172,0.1608475773979122,1,1,0.5655716407190865
POWERGRID.NS,2025-06-04,-1,288.54998779296875,8580196.0,295.90503561139417,296.2047678793757,-0.2997322679815397,-0.8930125907679165,-2.5662692082215943,1.693611215091976,-2.391275240327921,0,1,0.8429883711422105
POWERGRID.NS,2025-06-10,1,301.04998779296875,7273892.0,296.3048544382592,296.26143697752065,0.0434174607385102,4.440585530951857,2.2067561600337404,1.3009498975522205,-4.152134365338761,0,0,0.6516498430557692
POWERGRID.NS,2025-06-12,-1,289.0,14071159.0,295.89900671036287,296.194219478563,-0.2952127682001446,-1.7841971112999122,-1.3988420396237045,1.4064474094902266,0.8823487172902249,1,1,0.7076448896024375
POWERGRID.NS,2025-07-24,1,299.3500061035156,6294709.0,295.9463592860393,295.89227075949617,0.0540885265431256,0.9271746269082116,0.0334189151263597,0.6748732643783615,-2.789378965513761,0,0,0.6844503769177683
POWERGRID.NS,2025-07-25,-1,292.1000061035156,8202572.0,295.75404162691314,295.8606685540297,-0.1066269271165651,-0.6969192029594895,-2.1604360921715693,0.7471145009207605,0.2909983176153705,1,0,0.5309233702986563
ONGC.NS,2025-11-04,1,252.3500061035156,6006851.0,246.3281269624281,246.11064365213343,0.217483310294682,0.7224446658764316,1.451314839040152,1.0570785330640844,0.5944125079135881,1,0,0.7426025444518243
ONGC.NS,2025-12-05,-1,241.22999572753903,7645591.0,246.0409097169911,246.22813103496836,-0.1872213179772188,-0.8304231335913403,-2.3162588748288027,0.873817469882629,1.3306767449864316,1,0,0.7950882346381012
COALINDIA.NS,2026-01-06,1,427.0499877929688,6308113.0,393.5045896329528,392.96722406321857,0.537365569734277,7.298991907781094,10.56310363572006,1.7146011035103843,0.4332059844039842,1,0,0.5508042827329912
NTPC.NS,2026-01-29,1,358.1499938964844,20624409.0,337.924078771371,337.44778156782303,0.476297203547972,5.742539412004599,2.5923768647214684,1.835387865472192,2.471033436921831,1,1,0.5091216804637858
ONGC.NS,2026-01-30,1,268.9599914550781,24420043.0,245.64498647822248,245.06606888054213,0.5789175976803449,10.224989758582703,8.351124394447718,2.456223000802724,-0.0037103094749844,0,1,0.5796475949614743
POWERGRID.NS,2026-02-26,1,303.25,14249515.0,283.7673551743638,283.1418481412065,0.6255070331573052,2.918719253914848,3.1813563449099025,2.1640190230162286,-1.3520217983563478,0,0,0.5626622161951109
ONGC.NS,2026-06-29,-1,234.0500030517578,38227413.0,260.2680170066304,260.7470018393757,-0.4789848327453114,-4.644528025351036,-3.940074321859066,1.2964666627093189,-4.208498490191575,0,0,0.5109873638814966
POWERGRID.NS,2026-07-08,-1,279.70001220703125,7306244.0,290.382469645102,290.5252649968215,-0.1427953517194851,-2.7299516324755912,-3.850114102593827,0.8683301916573424,-0.3575259050256349,0,1,0.5884517837235228
NTPC.NS,2026-07-17,-1,341.8500061035156,7612446.0,359.15031720457904,359.2688630228823,-0.1185458183032324,-0.7836255362387301,-4.095947707538783,0.9766459275071544,-1.565015652477593,0,1,0.6647633497792839
