Stock,Date,Signal,Close,Volume,SMMA_20,SMMA_120,SMMA_DIFF,MOMENTUM_5D,MOMENTUM_10D,VOLATILITY_20D,RETURN_5D,Profitable
POWERGRID.NS,2019-11-25,1,111.7125244140625,6529113.0,110.778934023875,110.77761250961193,0.0013215142630684795,4.169939529377942,3.62639707430481,0.9733156503509055,-3.625372753507899,0
POWERGRID.NS,2019-11-26,-1,109.35002899169922,21594044.0,110.7074887722662,110.765715980296,-0.0582272080297912,-0.537218893278002,1.3820131881887132,1.0721684771673987,2.5720157789930695,1
POWERGRID.NS,2020-11-20,1,107.9156494140625,27479934.0,99.62629789268645,99.29595469850496,0.33034319418149494,1.5885619859782762,7.509102731560535,1.440934461974102,0.2866864808918098,1
POWERGRID.NS,2025-02-04,-1,285.6499938964844,19836427.0,302.78135671143934,303.1464615146683,-0.36510480322897365,-0.7642911795666563,-3.999325956875599,2.0530733080200694,8.471899949776601,1
POWERGRID.NS,2025-05-06,1,307.6000061035156,9124804.0,296.3131049987388,296.0397358042707,0.2733691944681027,-0.3078858295371356,-3.8749980926513716,1.9752482038299313,-2.9746403494560263,0
POWERGRID.NS,2025-06-04,-1,288.54998779296875,8580196.0,295.90503561139417,296.2047678793757,-0.29973226798153974,-0.8930125907679165,-2.5662692082215943,1.693611215091976,-2.391275240327921,0
POWERGRID.NS,2025-06-10,1,301.04998779296875,7273892.0,296.30485443825916,296.26143697752065,0.04341746073851027,4.440585530951857,2.2067561600337404,1.3009498975522205,-4.152134365338761,0
POWERGRID.NS,2025-06-12,-1,289.0,14071159.0,295.89900671036287,296.194219478563,-0.29521276820014464,-1.7841971112999122,-1.3988420396237045,1.4064474094902266,0.8823487172902249,1
POWERGRID.NS,2025-07-24,1,299.3500061035156,6294709.0,295.9463592860393,295.89227075949617,0.05408852654312568,0.9271746269082115,0.03341891512635975,0.6748732643783615,-2.7893789655137615,0
POWERGRID.NS,2025-07-25,-1,292.1000061035156,8202572.0,295.75404162691314,295.8606685540297,-0.10662692711656518,-0.6969192029594895,-2.1604360921715693,0.7471145009207605,0.2909983176153705,1
POWERGRID.NS,2026-02-26,1,303.25,14249515.0,283.7673551743638,283.1418481412065,0.6255070331573052,2.9187192539148477,3.1813563449099025,2.1640190230162286,-1.3520217983563478,0
POWERGRID.NS,2026-07-08,-1,279.70001220703125,7306244.0,290.382469645102,290.5252649968215,-0.1427953517194851,-2.7299516324755912,-3.850114102593827,0.8683301916573424,-0.35752590502563497,0
ONGC.NS,2017-06-08,-1,170.5500030517578,5798852.0,180.00653815685322,180.0971619141581,-0.0906237573048827,-1.982756866805857,-2.067178277862247,1.1217113919702695,1.9935556109263841,1
ONGC.NS,2017-11-01,1,191.0,5341109.0,172.87856686486057,172.6088321669755,0.2697346978850703,8.001127174517574,11.5654225494781,1.3949582200582578,0.8115199223862893,1
ONGC.NS,2018-05-30,-1,174.0,12554659.0,181.13809668590832,181.18272099285312,-0.044624306944797354,-0.7981721466367886,-6.552092990438341,2.191498533498636,2.126435027725395,1
ONGC.NS,2019-05-06,1,170.14999389648438,18962836.0,159.13934833435488,158.82618360579335,0.31316472856153155,0.7699068676205956,6.045495252562216,1.3490081560015865,-3.555679112541981,0
ONGC.NS,2019-07-18,-1,143.39999389648438,15971004.0,160.8233325836545,161.0096486002663,-0.18631601661181207,-6.335736002827308,-14.183130665087763,2.311503888330201,-0.31381605731175877,0
ONGC.NS,2021-01-07,1,97.9000015258789,25285200.0,88.80772830083404,88.47696761877296,0.3307606820610829,5.2122496669058105,7.819381316621721,3.135385266580179,7.303372231295495,1
ONGC.NS,2022-07-06,-1,120.94999694824219,59092334.0,147.17965154024049,147.79418438913524,-0.6145328488947541,-21.53746238260432,-10.307755673813833,4.246417592897923,-2.893757824150873,0
ONGC.NS,2022-12-20,1,145.85000610351562,6714207.0,140.47736446640027,140.33634627752528,0.14101818887499462,1.0391409328547763,2.3868088649442454,1.1461508344514748,-0.7199197859563907,0
ONGC.NS,2024-12-04,-1,260.70001220703125,10713838.0,265.8735865079257,265.9489325364203,-0.07534602849455041,2.5167161142231054,5.1209726641255005,1.6976838844409023,1.5726911820240588,1
ONGC.NS,2025-11-04,1,252.35000610351562,6006851.0,246.32812696242812,246.11064365213343,0.21748331029468204,0.7224446658764316,1.451314839040152,1.0570785330640844,0.5944125079135881,1
ONGC.NS,2025-12-05,-1,241.22999572753906,7645591.0,246.0409097169911,246.22813103496833,-0.18722131797721886,-0.8304231335913403,-2.3162588748288027,0.873817469882629,1.3306767449864316,1
ONGC.NS,2026-01-30,1,268.9599914550781,24420043.0,245.64498647822248,245.06606888054213,0.5789175976803449,10.224989758582703,8.351124394447718,2.456223000802724,-0.003710309474984401,0
ONGC.NS,2026-06-29,-1,234.0500030517578,38227413.0,260.2680170066304,260.7470018393757,-0.47898483274531145,-4.644528025351036,-3.940074321859066,1.2964666627093189,-4.208498490191575,0
COALINDIA.NS,2018-01-15,1,305.8999938964844,2643125.0,279.2425498972844,278.69477318191247,0.5477767153719242,6.418500923967541,14.719670316301281,1.6419234248069463,-6.815955057054104,0
COALINDIA.NS,2018-05-08,-1,268.1499938964844,3920562.0,283.52207988136837,283.70245883495016,-0.18037895358179412,-5.9122828433388115,-7.470667635759531,1.3150863255377656,1.7341018095564236,1
COALINDIA.NS,2018-09-07,1,286.54998779296875,2997117.0,279.8705117168745,279.70090880987897,0.1696029069955216,0.20981834597828541,-1.5292138168492286,1.4373214610311003,-4.048150786981864,0
